日付,順位,銘柄名,コード,市場,株価,前日差,騰落率,出来高,PER,PBR,配当利回り
20260522,78,テスＨＤ,5074,東P,"1,270",+119,+10.34%,"13,067",74.6倍,1.81倍,0.46%
20260522,79,商船三井,9104,東P,"5,709",-86,-1.48%,"12,531",11.5倍,0.68倍,3.59%
20260522,80,日製鋼,5631,東P,"7,742",-352,-4.35%,"12,504",30.0倍,2.68倍,1.19%
20260522,81,精工技研,6834,東S,"25,190",-430,-1.68%,"12,013",35.2倍,6.65倍,0.48%
20260522,82,リガクＨＤ,268A,東P,"2,375",0,0.00%,"11,712",43.0倍,6.15倍,0.80%
20260522,83,スカＪＳＡＴ,9412,東P,"4,115",-75,-1.79%,"11,444",43.2倍,3.84倍,1.17%
20260522,84,アンリツ,6754,東P,"4,468",+87,+1.99%,"11,040",38.1倍,4.31倍,1.12%
20260522,85,ＴＯＷＡ,6315,東P,"2,680",+84,+3.24%,"10,989",28.7倍,2.85倍,0.90%
20260522,86,アステリア,3853,東P,"2,144",+351,+19.58%,"10,917",ー倍,4.67倍,0.47%
20260522,87,Ｆ＆ＬＣ,3563,東P,"10,600",-165,-1.53%,"10,375",40.1倍,10.5倍,0.38%
20260522,88,菱ガス化,4182,東P,"4,974",+361,+7.83%,"10,142",21.1倍,1.50倍,2.21%
20260522,89,豊田織,6201,東P,"20,500",+10,+0.05%,"9,858",ー倍,0.91倍,ー%
20260522,90,ハーモニック,6324,東P,"6,550",+630,+10.64%,"9,843",138倍,7.71倍,0.31%
20260522,91,大和ハウス,1925,東P,"4,453",-32,-0.71%,"9,720",12.2倍,0.95倍,3.95%
20260522,92,ＡＧＣ,5201,東P,"6,216",+167,+2.76%,"9,713",17.2倍,0.88倍,3.38%
20260522,93,特殊陶,5334,東P,"9,608",+262,+2.80%,"9,612",17.9倍,2.45倍,2.19%
20260522,94,ＪＲ東日本,9020,東P,"3,692",-83,-2.20%,"9,548",16.4倍,1.37倍,2.28%
20260522,95,野村日半導,200A,東Ｅ,"4,318",+233,+5.70%,"9,528",ー倍,ー倍,ー%
20260522,96,ミネベア,6479,東P,"3,877",+147,+3.94%,"9,432",18.8倍,1.73倍,1.55%
20260522,97,ＧＸ半導日株,2644,東Ｅ,"3,784",+164,+4.53%,"9,268",ー倍,ー倍,ー%
20260522,98,Ｔ＆Ｄ,8795,東P,"4,075",-65,-1.57%,"8,951",14.5倍,1.21倍,4.02%
20260522,99,鹿島,1812,東P,"5,591",+24,+0.43%,"8,684",15.3倍,1.84倍,2.61%
20260522,100,ユニチカ,3103,東S,"1,274",-10,-0.78%,"8,682",15.9倍,2.19倍,ー%
20260522,101,武蔵精密,7220,東P,"5,180",+340,+7.02%,"8,665",52.2倍,2.78倍,0.77%
20260522,102,フェローテク,6890,東S,"8,720",-40,-0.46%,"8,442",14.3倍,1.70倍,3.06%
20260522,103,ＫＬａｂ,3656,東P,335,+20,+6.35%,"8,432",ー倍,2.63倍,ー%
20260522,104,ＭＡＲＵＷＡ,5344,東P,"69,820","+2,190",+3.24%,"8,229",ー倍,5.85倍,0.16%
20260522,105,メタプラ,3350,東S,308,+3,+0.98%,"8,203",ー倍,0.98倍,ー%
20260522,106,コナミＧ,9766,東P,"19,495",-725,-3.59%,"8,197",26.2倍,4.68倍,1.15%
20260522,107,ナブテスコ,6268,東P,"5,312",+342,+6.88%,"8,130",33.5倍,2.27倍,1.54%
20260522,108,横河電,6841,東P,"4,771",+71,+1.51%,"8,059",20.8倍,2.34倍,1.93%
20260522,109,ＦＵＪＩ,6134,東P,"7,585",+365,+5.06%,"7,998",20.2倍,2.87倍,2.50%
20260522,110,セコム,9735,東P,"6,430",+72,+1.13%,"7,941",24.6倍,1.98倍,1.87%
20260522,111,テラドローン,278A,東G,"10,910",-190,-1.71%,"7,937",ー倍,22.0倍,ー%
20260522,112,エーザイ,4523,東P,"4,243",-2,-0.05%,"7,861",22.9倍,1.33倍,3.77%
20260522,113,三井海洋,6269,東P,"10,865",-20,-0.18%,"7,704",12.8倍,3.07倍,1.84%
20260522,114,ＴＨＫ,6481,東P,"7,126",+259,+3.77%,"7,666",35.2倍,3.16倍,2.58%
20260522,115,ＮＧＫ,5333,東P,"5,700",+244,+4.47%,"7,575",19.6倍,1.98倍,1.86%
20260522,116,オムロン,6645,東P,"5,409",+38,+0.71%,"7,547",38.7倍,1.27倍,2.03%
20260522,117,東京きらぼし,7173,東P,"11,130",+520,+4.90%,"7,485",8.56倍,0.92倍,2.16%
20260522,118,広済堂ＨＤ,7868,東P,667,+9,+1.37%,"7,324",21.4倍,2.00倍,2.00%
20260522,119,ＳＷＣＣ,5805,東P,"13,120",+50,+0.38%,"7,256",21.0倍,3.95倍,1.91%
20260522,120,バンナムＨＤ,7832,東P,"3,748",-112,-2.90%,"7,046",18.5倍,2.79倍,ー%
20260522,121,芝浦,6590,東P,"4,820",+220,+4.78%,"6,926",26.6倍,5.69倍,1.33%
20260522,122,ＮＸＨＤ,9147,東P,"4,888",+70,+1.45%,"6,848",19.8倍,1.44倍,2.05%
20260522,123,関電工,1942,東P,"6,089",+1,+0.02%,"6,758",18.6倍,3.11倍,2.13%
20260522,124,フルヤ金属,7826,東P,"9,430",-60,-0.63%,"6,727",15.5倍,3.14倍,1.64%
20260522,125,ＱＰＳＨＤ,464A,東G,"3,435",+195,+6.02%,"6,551",383倍,12.8倍,ー%
20260522,126,双日,2768,東P,"5,564",+31,+0.56%,"6,452",8.90倍,1.06倍,3.24%
20260522,127,花王,4452,東P,"5,934",+15,+0.25%,"6,371",20.7倍,2.50倍,2.63%
20260522,128,メルカリ,4385,東P,"4,078",-140,-3.32%,"6,339",ー倍,5.60倍,ー%
20260522,129,京都ＦＧ,5844,東P,"4,495",+110,+2.51%,"6,299",24.5倍,1.12倍,2.34%
20260522,130,トライアル,141A,東G,"3,055",-50,-1.61%,"6,272",751倍,2.87倍,0.52%
20260522,131,東京精,7729,東P,"16,395",+765,+4.89%,"6,265",23.8倍,3.48倍,1.68%
20260522,132,エクサＷｉｚ,4259,東G,"1,188",+94,+8.59%,"6,141",ー倍,24.9倍,0.42%
20260522,133,アクセルＨＤ,402A,東G,731,+32,+4.58%,"6,118",ー倍,6.48倍,ー%
20260522,134,ＴＯＴＯ,5332,東P,"6,570",+171,+2.67%,"6,052",23.5倍,2.05倍,1.83%
20260522,135,純金信託,1540,東Ｅ,"21,490",+300,+1.42%,"5,924",ー倍,ー倍,ー%
20260522,136,住友ベ,4203,東P,"6,619",+309,+4.90%,"5,822",20.4倍,1.67倍,1.81%
20260522,137,ベイカレント,6532,東P,"5,537",+65,+1.19%,"5,786",17.4倍,7.13倍,2.35%
20260522,138,東ガス,9531,東P,"6,656",+17,+0.26%,"5,675",16.2倍,1.29倍,1.80%
20260522,139,ＴＯＰＰＡＮ,7911,東P,"4,442",+77,+1.76%,"5,663",22.8倍,0.94倍,1.31%
20260522,140,ｓａｎｔｅｃ,6777,東S,"26,020",-840,-3.13%,"5,590",34.8倍,11.0倍,0.88%
20260522,141,電子材料,6855,東S,"7,150",+440,+6.56%,"5,531",19.0倍,2.33倍,1.12%
20260522,142,ＡＣＳＬ,6232,東G,"2,753",-33,-1.18%,"5,527",ー倍,19.1倍,ー%
20260522,143,ふくおかＦＧ,8354,東P,"6,731",+54,+0.81%,"5,387",12.7倍,1.18倍,3.12%
20260522,144,大ガス,9532,東P,"5,668",-92,-1.60%,"5,303",15.0倍,1.20倍,2.29%
20260522,145,三菱マ,5711,東P,"4,890",+104,+2.17%,"5,158",13.0倍,0.87倍,2.37%
20260522,146,ＣＫＤ,6407,東P,"6,360",+440,+7.43%,"5,090",26.1倍,2.77倍,1.49%
20260522,147,エアウォータ,4088,東P,"2,546",+65,+2.62%,"4,968",ー倍,1.31倍,2.95%
20260522,148,洋缶ＨＤ,5901,東P,"4,344",+326,+8.11%,"4,918",21.8倍,0.94倍,4.28%
