No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
195,6976,太陽誘電,東P,"6,762",-148,-2.14,3570300,47.0,2.46,1.33,24142368600
196,8591,オリックス,東P,"5,772",-15,-0.26,3566600,12.0,1.42,3.25,20586415200
197,9107,川崎汽,東P,"2,522.5",-21.0,-0.83,3557900,16.8,0.88,4.76,8974802750
198,7453,良品計画,東P,"3,360.0",-67.0,-1.96,3530700,28.8,4.73,0.95,11863152000
199,4088,エアウォータ,東P,"2,283",+104,+4.77,3475800,ー,1.18,3.29,7935251400
200,9831,ヤマダＨＤ,東P,572.0,-10.6,-1.82,3468400,13.7,0.60,2.97,1983924800
201,8303,ＳＢＩ新生銀,東P,"1,648.5",+32.0,+1.98,3415400,ー,1.19,2.55,5630286900
202,2432,ディーエヌエ,東P,"2,715.5",+85.5,+3.25,3409600,ー,1.20,ー,9258768800
203,2134,北浜ＣＰ,東S,31,+2,+6.90,3392200,9.42,3.23,ー,105158200
204,7956,ピジョン,東P,"1,855.0",+125.0,+7.23,3355000,24.3,2.72,4.10,6223525000
205,5202,板硝子,東P,481,-1,-0.21,3351100,22.8,0.45,ー,1611879100
206,8331,千葉銀,東P,"2,280.0",+34.5,+1.54,3334200,14.8,1.26,2.81,7601976000
207,6920,レーザーテク,東P,"38,410","-2,150",-5.30,3328000,47.8,15.3,0.86,127828480000
208,6383,ダイフク,東P,"7,197",-305,-4.07,3327400,33.1,5.77,1.14,23947297800
209,7256,河西工,東S,443,-57,-11.40,3324600,4.29,1.02,ー,1472797800
210,7186,横浜ＦＧ,東P,"1,594.0",+7.0,+0.44,3322200,13.7,1.26,2.95,5295586800
211,2801,キッコマン,東P,"1,408.0",+1.0,+0.07,3309000,21.3,2.33,1.78,4659072000
212,6574,コンヴァノ,東G,92,-9,-8.91,3305100,12.0,3.13,1.09,304069200
213,6254,野村マイクロ,東P,"4,950",+595,+13.66,3298800,17.1,4.82,1.72,16329060000
214,1812,鹿島,東P,"5,843",-344,-5.56,3296500,16.0,1.92,2.50,19261449500
215,6085,アーキテクツ,東G,504,-26,-4.91,3280400,"1,527",-260,ー,1653321600
216,6324,ハーモニック,東P,"7,100",+670,+10.42,3213500,149,8.36,0.28,22815850000
217,9005,東急,東P,"1,657.0",-12.5,-0.75,3211800,10.5,1.04,1.93,5321952600
218,9022,ＪＲ東海,東P,"3,634.0",+16.0,+0.44,3211200,7.77,0.68,0.88,11669500800
219,7181,かんぽ生命,東P,"1,648.0",+53.5,+3.36,3197800,12.7,0.43,3.03,5269974400
220,3088,マツキヨココ,東P,"2,291.5",+81.5,+3.69,3193300,15.3,1.66,2.44,7317446950
221,5471,大同特鋼,東P,"1,891.0",-80.5,-4.08,3186800,13.7,0.80,2.75,6026238800
222,7735,スクリン,東P,"11,335",-870,-7.13,3181900,19.5,4.40,1.54,36066836500
223,6479,ミネベア,東P,"3,944",-34,-0.85,3164100,19.1,1.76,1.52,12479210400
224,6619,ＷＳＣＯＰＥ,東P,278,0,0.00,3152100,ー,0.41,ー,876283800
225,1925,大和ハウス,東P,"4,538",0,0.00,3148900,12.4,0.97,3.88,14289708200
226,7912,大日印,東P,"2,910.0",+14.5,+0.50,3126600,13.2,1.05,1.41,9098406000
227,1928,積水ハウス,東P,"3,396.0",-27.0,-0.79,3118700,10.1,1.03,4.27,10591105200
228,5110,住友ゴ,東P,"2,048.0",+31.5,+1.56,3094000,9.79,0.74,4.10,6336512000
229,4507,塩野義,東P,"3,080.0",+4.0,+0.13,3069400,12.5,1.56,2.47,9453752000
230,7731,ニコン,東P,"2,265.5",-61.0,-2.62,3068700,74.6,1.27,0.88,6952139850
231,4680,ラウンドワン,東P,826.4,+18.2,+2.25,3042100,11.9,2.63,2.18,2513991440
232,6330,東洋エンジ,東P,"2,099",-52,-2.42,3032800,25.4,2.83,1.19,6365847200
233,3064,モノタロウ,東P,"1,858.5",+90.5,+5.12,3020700,25.3,7.93,1.99,5613970950
234,7014,名村造,東S,"4,375",+700,+19.05,3007100,13.8,2.22,1.37,13156062500
235,3391,ツルハＨＤ,東P,"2,106.5",+95.0,+4.72,3002300,23.0,1.09,2.28,6324344950
236,5706,三井金属,東P,"46,640","-4,020",-7.94,2997400,35.6,6.48,0.60,139798736000
237,8035,東エレク,東P,"50,290",-910,-1.78,2986000,ー,11.2,ー,150165940000
238,8015,豊田通商,東P,"7,387",+17,+0.23,2944300,19.5,2.47,1.69,21749544100
239,3070,ジェリビンズ,東G,85,-4,-4.49,2942400,41.9,1.45,ー,250104000
240,9101,郵船,東P,"5,498",+52,+0.95,2941000,11.4,0.72,3.64,16169618000
241,8473,ＳＢＩ,東P,"3,099.0",+31.0,+1.01,2938700,ー,1.12,ー,9107031300
242,3099,三越伊勢丹,東P,"3,301.0",-62.0,-1.84,2930400,18.8,1.87,2.42,9673250400
243,3405,クラレ,東P,"1,631.0",-42.0,-2.51,2898800,12.3,0.66,3.92,4727942800
244,9412,スカＪＳＡＴ,東P,"4,180",+35,+0.84,2897500,43.9,3.90,1.15,12111550000
245,7752,リコー,東P,"1,421.5",+7.5,+0.53,2893300,13.1,0.70,3.10,4112825950
246,4169,エネチェンジ,東G,294,-61,-17.18,2853200,22.9,2.66,ー,838840800
247,9201,ＪＡＬ,東P,"2,550.0",+7.5,+0.29,2842400,9.96,0.85,3.76,7248120000
248,4259,エクサＷｉｚ,東G,956,-11,-1.14,2816400,ー,20.0,0.52,2692478400
249,8053,住友商,東P,"7,510",-30,-0.40,2812200,14.2,1.94,2.13,21119622000
250,1475,ｉＳＴＰＸ,東Ｅ,399.7,-1.7,-0.42,2811360,ー,ー,ー,1123700592
251,4594,ブライトパス,東G,49,-3,-5.77,2794200,ー,2.90,ー,136915800
252,9202,ＡＮＡＨＤ,東P,"2,745.0",-24.0,-0.87,2781900,12.8,0.82,2.19,7636315500
253,4182,菱ガス化,東P,"4,641",-361,-7.22,2780200,19.7,1.40,2.37,12902908200
254,6134,ＦＵＪＩ,東P,"7,993",+792,+11.00,2780000,21.3,3.02,2.38,22220540000
255,4631,ＤＩＣ,東P,"4,199",+410,+10.82,2771100,12.1,0.82,3.33,11635848900
256,5244,ｊｉｇ．ｊｐ,東G,193,-44,-18.57,2770900,6.86,1.58,1.52,534783700
257,5463,丸一管,東P,"1,922.5",+129.5,+7.22,2739700,16.5,1.22,2.70,5267073250
258,4596,窪田製薬ＨＤ,東G,71,-6,-7.79,2736700,ー,5.95,ー,194305700
259,1893,五洋建,東P,"1,943.0",-37.0,-1.87,2735300,15.2,2.68,2.68,5314687900
260,2982,ＡＤＷＧ,東P,397,-7,-1.73,2732000,6.32,0.91,5.04,1084604000
261,9021,ＪＲ西日本,東P,"2,731.0",+21.0,+0.77,2728100,12.4,1.03,3.57,7450441100
262,4889,レナ,東G,"1,905",+184,+10.69,2719600,ー,7.93,ー,5180838000
263,6958,日本ＣＭＫ,東P,648,-13,-1.97,2691800,23.1,0.55,3.09,1744286400
264,190A,コーディア,東G,117,-9,-7.14,2690400,ー,3.82,ー,314776800
265,1909,日本ドライ,東S,"3,735",+10,+0.27,2685000,ー,3.22,ー,10028475000
266,1615,野村東証銀行,東Ｅ,639.7,-0.3,-0.05,2681170,ー,ー,ー,1715144449
267,408A,ｉＳＢＡＩ,東Ｅ,306.5,-9.3,-2.94,2659920,ー,ー,ー,815265480
268,4180,Ａｐｐｉｅｒ,東P,967,-90,-8.51,2643700,28.5,2.62,0.24,2556457900
269,2644,ＧＸ半導日株,東Ｅ,"3,819",-183,-4.57,2624096,ー,ー,ー,10021422624
270,2492,インフォＭＴ,東P,394,+3,+0.77,2616200,33.9,3.56,1.67,1030782800
271,6645,オムロン,東P,"5,700",-214,-3.62,2612300,40.8,1.34,1.93,14890110000
272,9502,中部電,東P,"2,715.5",0,0.00,2546700,ー,0.65,2.58,6915563850
273,6146,ディスコ,東P,"64,900","-5,100",-7.29,2544600,ー,12.0,ー,165144540000
274,2501,サッポロＨＤ,東P,"1,591.5",+75.0,+4.95,2541100,2.10,2.89,2.51,4044160650
275,2269,明治ＨＤ,東P,"3,701.0",+112.0,+3.12,2532100,16.1,1.30,2.97,9371302100
276,6779,日電波,東P,"2,242",-48,-2.10,2505900,22.4,1.61,1.34,5618227800
277,3003,ヒューリック,東P,"1,760.5",+0.5,+0.03,2477700,11.0,1.47,3.81,4361990850
278,6590,芝浦,東P,"5,160",-550,-9.63,2474000,28.5,6.09,1.24,12765840000
279,1860,戸田建,東P,"1,491.5",+114.5,+8.32,2468900,12.6,1.13,4.02,3682364350
280,4588,オンコリス,東G,"2,680",-230,-7.90,2468400,ー,21.9,ー,6615312000
281,2371,カカクコム,東P,"3,528.0",+128.0,+3.76,2458700,33.7,10.7,ー,8674293600
282,4204,積水化,東P,"2,334.5",-22.5,-0.95,2452500,12.4,1.11,3.47,5725361250
283,9008,京王,東P,775.5,+4.9,+0.64,2431000,10.4,1.01,2.84,1885240500
284,2980,ＳＲＥＨＤ,東P,"2,706",-519,-16.09,2429800,15.4,2.85,0.74,6575038800
285,464A,ＱＰＳＨＤ,東G,"3,300",+20,+0.61,2389500,368,12.2,ー,7885350000
286,9104,商船三井,東P,"5,863",-38,-0.64,2388400,11.9,0.70,3.50,14003189200
287,6855,電子材料,東S,"7,220","-1,290",-15.16,2372900,19.2,2.36,1.11,17132338000
288,7180,九州ＦＧ,東P,"1,417.5",+14.0,+1.00,2364300,13.3,0.79,2.68,3351395250
289,8304,あおぞら銀,東P,"2,720.0",+82.0,+3.11,2362900,13.9,0.79,3.68,6427088000
290,8508,Ｊトラスト,東S,708,+44,+6.63,2360300,11.6,0.59,2.40,1671092400
291,9023,東京メトロ,東P,"1,543.0",+29.0,+1.92,2355900,17.9,1.22,2.85,3635153700
